type,workers,stock_ops_s_median,stock_ops_s_ci_low,stock_ops_s_ci_high,unattached_ops_s_median,unattached_ops_s_ci_low,unattached_ops_s_ci_high,pass_ops_s_median,pass_ops_s_ci_low,pass_ops_s_ci_high,select_ops_s_median,select_ops_s_ci_low,select_ops_s_ci_high,fuse_ops_s_median,fuse_ops_s_ci_low,fuse_ops_s_ci_high,unattached_over_stock_median,unattached_over_stock_ci_low,unattached_over_stock_ci_high,pass_over_unattached_median,pass_over_unattached_ci_low,pass_over_unattached_ci_high,select_over_pass_median,select_over_pass_ci_low,select_over_pass_ci_high,select_over_unattached_median,select_over_unattached_ci_low,select_over_unattached_ci_high,select_over_fuse_median,select_over_fuse_ci_low,select_over_fuse_ci_high,fuse_measured_opendir,fuse_measured_readdir,fuse_measured_releasedir
MRDL,1,15105537.340944,14896467.5933345,15116995.5386035,15083961.450988,14989058.738439,15106329.188985001,11659784.5914125,11644133.642347,11683015.3546125,11663867.939915,11635762.516887,11685186.015432,4995207.6169595,4906060.4377745,5223576.638221,0.999459643459816,0.9906669953862474,1.0127618864774601,0.7736490728267942,0.7719072372489395,0.7767639437904215,1.0005298847980768,0.9969478070271647,1.0036213032473453,0.7743924391244766,0.7720029728362634,0.7783858956454182,2.314122267008452,2.2225288529559246,2.3546958133491906,18289.0,256040.0,18289.0
MRDL,2,28907252.6505355,28787406.4451215,28953145.7997325,28720747.318074,26455470.507252,28985564.512992,22879651.73833,22672868.2324955,22906342.083284,22775286.676161498,22647931.795272,22856449.772041,10371611.780970499,10311968.7470975,10395497.498567,0.9955971578198559,0.9151481522939091,1.002861192693471,0.796626606581247,0.7877726190655638,0.8326004268232978,0.9986931780500665,0.9888381381549545,1.004836500947035,0.795013626312359,0.787036549944053,0.829201289191533,2.1998374205336706,2.1783744724043195,2.212236243414763,37973.5,531618.5,37973.5
MRDL,4,56873377.3054875,56431046.005831495,56984886.6655545,56845974.48534,56380710.2445895,57000302.041508,44993416.4587055,43636990.723543,45126253.406446,44926685.6145835,44355399.530489,45144068.765677,12144947.709602501,11839719.1134035,12545154.451835,0.9996801289934686,0.9868297427752002,1.009662756960655,0.7904888420470693,0.766170694584126,0.7997561276172342,0.9965914363595079,0.981948166206394,1.0333481121061423,0.7914088601374263,0.7799310331210376,0.7935871901102233,3.6633119157952754,3.504775845358659,3.7894946761938035,44467.0,622517.0,44467.0
MRDM,1,14892418.114960998,14824885.9053865,14916103.0322765,14879705.966644999,14850427.631022502,14898996.703701,11538258.6104615,11428623.1364245,11556961.1530035,11505725.022315,11255819.822478,11545386.481845,3918143.8284445,3884841.565522,3975280.100528,0.9995566375527366,0.9951550591981418,1.0037889918242904,0.7750869319834192,0.7674148430188892,0.7771942936696099,0.9980722789268137,0.9745201347385734,0.9988137843351312,0.7737092011594346,0.7572008735927958,0.7745526429511318,2.9086421388628025,2.8328721007243196,2.968090822792907,14345.5,200832.5,14345.5
MRDM,2,10872223.3455515,10294055.382393,12485221.864402499,11003152.092681501,10827217.9267755,11498090.1450735,14367528.166919,13434743.913669,14763829.32104,14208417.567998499,13439228.5494705,14688615.375682,5734878.8973159995,5608384.523568,5878735.828409,1.0058257462053444,0.9607214269420785,1.0957858503341218,1.2775520312368838,1.1383037321444098,1.3429272921824036,0.9986855895098905,0.908750648225443,1.0899141089099997,1.2744871060391723,1.1450084570777208,1.3526133436078678,2.4499657033046063,2.3321871291948346,2.5857019404425365,10500.5,272990.5,10500.5
MRDM,4,5442950.349251,5067526.9184115,6086846.786818,5567977.9886,5234059.77233,6433105.976683,5440092.358961999,5153004.189848,5892374.594848,5308026.4071555,4575427.526828,5847625.76235,5074022.025268,5041950.711099,5273263.076160001,1.0141166365240708,0.9036840607630799,1.250566062007271,0.9339630129027636,0.8078070163779307,1.1568185633874843,0.9362286476453798,0.8490008523264057,1.0380743561891808,0.9425395906595593,0.7993583634385989,1.05319963595863,1.0178205536135103,0.9074716888358254,1.1352216276866105,4647.0,232259.5,4647.0
